loan_id,customer_id,loan_amount,loan_term_months,interest_rate,loan_type,loan_status,loan_issue_date,loan_end_date
L000094,C07935,3215841,60,15.28,Credit Line,Active,2021-12-06,2026-11-10
L000095,C06955,820698,24,16.0,Education Loan,Active,2025-09-11,2027-09-01
L000096,C06362,1266361,48,8.11,Credit Line,Active,2024-02-10,2028-01-20
L000097,C01198,2162310,180,16.72,Credit Line,Active,2024-03-31,2039-01-12
L000098,C03781,230850,120,8.76,Credit Line,Closed,2021-08-19,2031-06-28
L000099,C06418,4128534,60,16.07,Credit Line,Defaulted,2023-05-04,2028-04-07
L000100,C00833,4054754,12,13.09,Education Loan,Closed,2021-02-08,2022-02-03
L000101,C03069,1253552,240,10.5,Credit Line,Closed,2024-11-22,2044-08-09
L000102,C02683,3855342,120,15.98,Credit Line,Active,2024-11-11,2034-09-20
L000103,C03203,1674879,48,9.27,Home Loan,Active,2023-10-14,2027-09-23
L000104,C05746,2882347,84,7.82,Education Loan,Active,2023-04-28,2030-03-22
L000105,C09408,4479200,240,10.2,Education Loan,Closed,2023-12-25,2043-09-11
L000106,C06608,2105092,240,17.56,Business Loan,Active,2024-06-17,2044-03-04
L000107,C08098,4540627,12,7.2,Business Loan,Closed,2021-06-30,2022-06-25
L000108,C02385,2867090,60,9.98,Business Loan,Active,2024-10-24,2029-09-28
L000109,C09941,63877,36,11.64,Auto Loan,Closed,2022-12-14,2025-11-28
L000110,C01146,3751573,180,10.43,Credit Line,Active,2024-02-11,2038-11-24
L000111,C09415,944718,48,7.6,Business Loan,Active,2024-03-01,2028-02-09
L000112,C04240,3083576,48,7.57,Auto Loan,Closed,2021-11-20,2025-10-30
L000113,C07447,385297,12,10.02,Credit Line,Active,2022-10-30,2023-10-25
L000114,C03561,1669583,36,14.83,Business Loan,Closed,2024-05-03,2027-04-18
L000115,C00548,4457313,12,14.29,Business Loan,Active,2025-09-22,2026-09-17
L000116,C00216,4210648,180,14.29,Business Loan,Active,2022-01-29,2036-11-11
L000117,C08156,1947430,120,10.09,Personal Loan,Active,2024-09-07,2034-07-17
L000118,C05348,187317,120,13.9,Education Loan,Active,2024-09-01,2034-07-11
L000119,C02272,185685,120,8.66,Personal Loan,Closed,2025-04-04,2035-02-11
L000120,C01360,1316474,24,13.37,Credit Line,Closed,2023-02-27,2025-02-16
L000121,C03020,1750307,120,8.42,Auto Loan,Closed,2023-10-16,2033-08-24
L000122,C03213,3346500,24,14.41,Personal Loan,Active,2021-03-06,2023-02-24
L000123,C07594,224197,60,11.76,Auto Loan,Active,2021-08-24,2026-07-29
L000124,C09134,3555276,12,12.51,Business Loan,Closed,2021-01-21,2022-01-16
L000125,C08700,4899951,84,12.02,Education Loan,Closed,2024-12-01,2031-10-26
L000126,C06402,2560112,12,14.11,Home Loan,Active,2024-07-18,2025-07-13
L000127,C01039,3525289,120,8.51,Credit Line,Active,2022-01-18,2031-11-27
L000128,C06082,404973,84,7.11,Education Loan,Active,2022-06-12,2029-05-06
L000129,C06862,1218802,84,15.14,Business Loan,Closed,2021-12-01,2028-10-25
L000130,C04446,2213664,60,14.0,Personal Loan,Closed,2022-02-08,2027-01-13
L000131,C01516,1516631,180,13.49,Credit Line,Active,2023-11-08,2038-08-21
L000132,C08613,2465869,48,11.28,Personal Loan,Active,2025-03-13,2029-02-20
L000133,C00425,1638098,48,14.27,Home Loan,Closed,2025-03-20,2029-02-27
L000134,C07380,3507730,12,10.0,Auto Loan,Closed,2025-05-20,2026-05-15
L000135,C01344,767671,48,7.26,Business Loan,Active,2024-10-28,2028-10-07
L000136,C04858,4167047,84,16.75,Business Loan,Closed,2021-10-08,2028-09-01
L000137,C08463,4569489,36,17.01,Auto Loan,Active,2022-10-05,2025-09-19
L000138,C09966,3864921,48,11.09,Credit Line,Closed,2025-10-29,2029-10-08
L000139,C07923,1897994,180,14.46,Home Loan,Closed,2025-07-02,2040-04-14
L000140,C04737,2663956,180,9.29,Credit Line,Closed,2022-04-11,2037-01-22
L000141,C02982,566989,240,16.15,Credit Line,Active,2024-11-12,2044-07-30
L000142,C06278,3178553,120,15.09,Credit Line,Active,2021-01-29,2030-12-08
L000143,C00906,2647806,180,16.06,Credit Line,Active,2024-09-20,2039-07-04
L000144,C05321,1447013,180,14.82,Business Loan,Defaulted,2025-10-08,2040-07-21
L000145,C01079,338932,24,7.91,Auto Loan,Defaulted,2022-09-29,2024-09-18
L000146,C05727,1493085,60,13.18,Business Loan,Closed,2024-01-04,2028-12-08
L000147,C01123,1674678,240,9.92,Home Loan,Active,2024-08-15,2044-05-02
L000148,C05031,4918782,36,9.66,Credit Line,Closed,2025-02-03,2028-01-19
L000149,C02171,3403488,36,13.99,Business Loan,Active,2024-05-07,2027-04-22
L000150,C04523,1836247,180,14.56,Education Loan,Closed,2024-04-12,2039-01-24
L000151,C04593,380177,24,8.98,Education Loan,Closed,2021-04-17,2023-04-07
L000152,C03307,1193485,12,12.27,Credit Line,Active,2021-07-29,2022-07-24
L000153,C07124,3975994,180,7.66,Home Loan,Closed,2021-04-25,2036-02-06
L000154,C06426,3165481,60,13.31,Personal Loan,Active,2023-04-19,2028-03-23
L000155,C09514,4178561,84,16.08,Education Loan,Closed,2023-02-16,2030-01-10
L000156,C06675,522074,24,15.65,Credit Line,Active,2023-07-10,2025-06-29
L000157,C04445,2044303,120,9.8,Home Loan,Defaulted,2023-03-01,2033-01-07
L000158,C00342,2452004,84,17.02,Home Loan,Active,2025-03-11,2032-02-03
L000159,C09038,2998545,48,13.87,Credit Line,Defaulted,2021-05-27,2025-05-06
L000160,C09934,3049287,48,14.08,Auto Loan,Defaulted,2023-10-06,2027-09-15
L000161,C06697,3626986,84,15.8,Business Loan,Closed,2022-03-02,2029-01-24
L000162,C00871,2047768,84,8.73,Education Loan,Closed,2022-06-06,2029-04-30
L000163,C05803,3582589,12,8.96,Education Loan,Closed,2025-08-07,2026-08-02
L000164,C07844,2612510,60,8.26,Home Loan,Active,2024-08-05,2029-07-10
L000165,C00639,4847614,240,11.36,Education Loan,Closed,2024-10-28,2044-07-15
L000166,C04132,2252500,48,14.91,Auto Loan,Active,2022-04-25,2026-04-04
L000167,C02410,3120932,60,14.66,Auto Loan,Closed,2023-07-01,2028-06-04
L000168,C00142,257784,48,11.85,Personal Loan,Closed,2024-06-04,2028-05-14
L000169,C06756,4878647,12,15.14,Home Loan,Closed,2021-04-09,2022-04-04
L000170,C01222,640016,60,16.78,Business Loan,Closed,2021-01-11,2025-12-16
L000171,C06464,3184209,240,16.35,Education Loan,Closed,2023-10-15,2043-07-02
L000172,C00727,3717317,48,9.63,Business Loan,Active,2024-12-10,2028-11-19
L000173,C04175,4910617,240,12.94,Auto Loan,Closed,2021-10-11,2041-06-28
L000174,C05630,3871266,36,14.97,Education Loan,Defaulted,2025-03-09,2028-02-22
L000175,C03642,4128538,180,17.71,Auto Loan,Closed,2023-01-19,2037-11-01
L000176,C01960,4325564,48,17.26,Credit Line,Active,2023-09-17,2027-08-27
L000177,C03643,1186921,84,8.0,Education Loan,Active,2024-04-25,2031-03-20
L000178,C00228,3975972,36,15.45,Personal Loan,Active,2025-10-16,2028-09-30
L000179,C00247,2053359,48,14.7,Education Loan,Active,2021-11-08,2025-10-18
L000180,C00823,3986700,60,16.96,Credit Line,Closed,2024-02-26,2029-01-30
L000181,C01500,1604419,48,7.73,Home Loan,Closed,2023-11-14,2027-10-24
L000182,C03231,4335406,60,15.41,Business Loan,Closed,2023-10-13,2028-09-16
L000183,C00908,3271138,36,8.93,Credit Line,Active,2025-09-18,2028-09-02
L000184,C07445,3784546,84,16.96,Business Loan,Closed,2025-11-29,2032-10-23
L000185,C06450,1195479,48,16.69,Education Loan,Active,2024-10-05,2028-09-14
L000186,C03065,1478608,24,9.15,Home Loan,Defaulted,2021-02-11,2023-02-01
L000187,C05856,3224260,180,15.53,Personal Loan,Closed,2022-03-12,2036-12-23
L000188,C02835,1370356,36,12.45,Business Loan,Active,2022-04-26,2025-04-10
L000189,C02260,2828995,48,9.5,Auto Loan,Closed,2022-11-21,2026-10-31
L000190,C07075,579327,12,14.45,Education Loan,Defaulted,2021-10-30,2022-10-25
L000191,C05196,2214993,12,11.8,Home Loan,Closed,2022-09-06,2023-09-01
L000192,C02553,3210179,120,12.73,Personal Loan,Closed,2025-06-12,2035-04-21
L000193,C04128,544273,36,15.09,Business Loan,Closed,2021-02-21,2024-02-06
L000194,C08234,2053145,24,14.8,Home Loan,Active,2024-01-31,2026-01-20
L000195,C00320,3482331,24,9.44,Personal Loan,Defaulted,2025-02-20,2027-02-10
L000196,C04013,149656,120,14.1,Home Loan,Closed,2021-03-23,2031-01-30
L000197,C05007,4465120,120,17.86,Personal Loan,Closed,2021-12-03,2031-10-12
L000198,C07604,863091,84,14.57,Home Loan,Closed,2023-01-21,2029-12-15
L000199,C05011,4839866,48,13.89,Personal Loan,Closed,2023-01-03,2026-12-13
L000200,C06924,160548,240,17.79,Credit Line,Active,2023-11-05,2043-07-23
L000201,C00695,4612460,120,8.04,Personal Loan,Closed,2023-12-15,2033-10-23
L000202,C05131,1538359,24,9.09,Education Loan,Defaulted,2021-03-15,2023-03-05
L000203,C08019,2860934,120,14.11,Home Loan,Active,2021-12-01,2031-10-10
L000204,C03879,4829458,48,12.41,Credit Line,Closed,2022-05-01,2026-04-10
L000205,C07987,1049758,84,11.64,Credit Line,Closed,2025-08-08,2032-07-02
L000206,C01882,1902239,240,17.83,Credit Line,Active,2023-07-07,2043-03-24
L000207,C06751,605119,240,17.87,Auto Loan,Closed,2025-08-11,2045-04-28
L000208,C02477,4007000,84,17.94,Business Loan,Active,2021-03-20,2028-02-12
L000209,C02994,4666787,48,17.97,Business Loan,Defaulted,2024-02-22,2028-02-01
L000210,C03190,1696426,120,8.63,Personal Loan,Active,2023-10-08,2033-08-16
L000211,C04435,351901,36,14.97,Business Loan,Active,2023-08-12,2026-07-27
L000212,C01138,4717993,48,8.63,Auto Loan,Closed,2023-10-15,2027-09-24
L000213,C06884,4406778,120,17.48,Education Loan,Closed,2023-08-09,2033-06-17
L000214,C01190,4576179,240,11.01,Education Loan,Active,2024-03-16,2043-12-02
L000215,C02164,4187905,36,12.94,Credit Line,Active,2023-05-02,2026-04-16
L000216,C04563,2034107,36,8.0,Auto Loan,Active,2022-01-31,2025-01-15
L000217,C06732,2634480,24,7.66,Credit Line,Defaulted,2022-08-15,2024-08-04
L000218,C01661,3241898,120,15.92,Auto Loan,Closed,2023-03-13,2033-01-19
L000219,C08803,420041,12,13.92,Business Loan,Active,2022-07-21,2023-07-16
L000220,C07367,1490319,48,12.7,Personal Loan,Active,2025-09-04,2029-08-14
L000221,C00937,4018323,60,8.28,Personal Loan,Active,2022-11-12,2027-10-17
L000222,C03273,3760464,84,15.68,Home Loan,Active,2022-04-13,2029-03-07
L000223,C09553,824700,36,11.61,Business Loan,Closed,2022-02-12,2025-01-27
L000224,C00718,2728672,24,9.28,Home Loan,Active,2022-05-21,2024-05-10
L000225,C00033,442695,84,15.06,Personal Loan,Active,2023-05-12,2030-04-05
L000226,C04475,1048843,24,13.71,Education Loan,Active,2021-05-28,2023-05-18
L000227,C08971,1935142,60,9.48,Personal Loan,Active,2021-01-25,2025-12-30
L000228,C08854,3729000,240,12.89,Personal Loan,Closed,2023-08-23,2043-05-10
L000229,C05399,1624110,120,16.75,Auto Loan,Closed,2022-01-08,2031-11-17
L000230,C09817,2997216,240,13.08,Business Loan,Closed,2022-03-13,2041-11-28
L000231,C05590,2042668,36,9.65,Business Loan,Closed,2022-09-26,2025-09-10
L000232,C06821,4846771,120,12.17,Education Loan,Active,2022-02-25,2032-01-04
L000233,C05810,2903605,36,10.41,Home Loan,Closed,2025-08-06,2028-07-21
L000234,C08397,3083428,84,8.68,Home Loan,Closed,2022-02-09,2029-01-03
L000235,C08407,4829068,48,7.35,Auto Loan,Closed,2022-04-10,2026-03-20
L000236,C00187,1454838,84,17.18,Home Loan,Closed,2022-12-06,2029-10-30
L000237,C06353,2771962,120,15.88,Business Loan,Active,2021-04-12,2031-02-19
L000238,C07412,2299629,36,16.76,Auto Loan,Defaulted,2021-06-14,2024-05-29
L000239,C00629,2297358,180,13.88,Credit Line,Closed,2025-12-27,2040-10-09
L000240,C03201,3907364,60,15.18,Auto Loan,Closed,2021-08-15,2026-07-20
L000241,C02603,134834,60,14.24,Home Loan,Defaulted,2021-03-01,2026-02-03
L000242,C02953,1573747,60,10.92,Credit Line,Closed,2021-03-09,2026-02-11
L000243,C07385,3663908,36,16.72,Auto Loan,Defaulted,2022-01-05,2024-12-20
L000244,C04724,4207964,84,10.5,Home Loan,Active,2023-09-11,2030-08-05
L000245,C00624,2083953,12,17.97,Business Loan,Active,2024-01-27,2025-01-21
L000246,C03800,316397,60,17.51,Personal Loan,Active,2024-04-02,2029-03-07
L000247,C09248,4163054,240,8.8,Credit Line,Closed,2022-04-07,2041-12-23
L000248,C01287,2849080,240,13.11,Auto Loan,Active,2021-04-04,2040-12-20
L000249,C04829,4613645,36,8.99,Credit Line,Closed,2022-03-05,2025-02-17
L000250,C03978,308784,240,7.48,Credit Line,Defaulted,2021-01-03,2040-09-20
L000251,C05075,2035911,48,10.98,Personal Loan,Active,2022-04-15,2026-03-25
L000252,C05914,4931066,240,15.17,Personal Loan,Active,2022-06-13,2042-02-28
L000253,C07143,2652964,240,8.71,Credit Line,Active,2023-07-19,2043-04-05
L000254,C09783,4054426,240,11.6,Home Loan,Closed,2021-05-20,2041-02-04
L000255,C05119,4541071,12,12.69,Credit Line,Active,2023-04-29,2024-04-23
L000256,C09240,251439,240,13.38,Home Loan,Closed,2022-03-29,2041-12-14
L000257,C08049,2100782,84,17.82,Credit Line,Closed,2023-02-25,2030-01-19
L000258,C09690,2712857,36,13.41,Auto Loan,Active,2023-02-12,2026-01-27
L000259,C03149,796948,24,7.96,Credit Line,Active,2021-05-03,2023-04-23
L000260,C03135,1712527,120,11.3,Credit Line,Active,2024-07-14,2034-05-23
L000261,C00508,4133804,84,11.39,Auto Loan,Defaulted,2023-08-25,2030-07-19
L000262,C04266,1497898,180,13.35,Business Loan,Active,2023-10-26,2038-08-08
L000263,C01411,4462231,120,13.02,Education Loan,Closed,2025-09-30,2035-08-09
L000264,C02420,1724229,240,11.72,Personal Loan,Closed,2025-08-25,2045-05-12
L000265,C02010,2623410,120,13.7,Auto Loan,Active,2023-09-05,2033-07-14
L000266,C02521,4839066,24,9.58,Credit Line,Defaulted,2025-06-21,2027-06-11
L000267,C04830,4402753,240,16.34,Home Loan,Closed,2023-01-11,2042-09-28
L000268,C07531,1314288,240,13.84,Personal Loan,Active,2023-11-01,2043-07-19
L000269,C09754,3648740,60,12.44,Home Loan,Active,2021-10-21,2026-09-25
L000270,C01530,3773062,60,12.85,Education Loan,Active,2024-07-20,2029-06-24
L000271,C07379,4869386,240,13.34,Credit Line,Active,2023-09-28,2043-06-15
L000272,C05915,4441773,48,12.25,Home Loan,Closed,2024-05-30,2028-05-09
L000273,C06608,4876925,60,16.98,Credit Line,Defaulted,2025-06-24,2030-05-29
L000274,C01945,608437,48,12.42,Auto Loan,Closed,2025-01-31,2029-01-10
L000275,C03882,1077047,12,15.83,Credit Line,Active,2022-01-05,2022-12-31
L000276,C05299,2100942,36,8.5,Home Loan,Active,2021-05-10,2024-04-24
L000277,C07855,4347225,36,7.43,Business Loan,Active,2022-01-04,2024-12-19
L000278,C04144,2538721,36,9.98,Personal Loan,Closed,2022-05-22,2025-05-06
L000279,C07654,4975576,12,10.35,Business Loan,Active,2025-09-07,2026-09-02
L000280,C07255,4060497,84,17.28,Business Loan,Active,2025-10-28,2032-09-21
L000281,C06093,775349,12,15.97,Home Loan,Closed,2024-02-23,2025-02-17
L000282,C03094,1496918,12,8.47,Home Loan,Closed,2023-05-16,2024-05-10
L000283,C07156,1614238,36,16.65,Home Loan,Defaulted,2024-04-06,2027-03-22
L000284,C01966,1398165,240,9.88,Business Loan,Active,2024-08-21,2044-05-08
L000285,C03297,3412608,48,12.26,Education Loan,Active,2025-02-24,2029-02-03
L000286,C03380,4467784,24,7.52,Personal Loan,Active,2021-03-21,2023-03-11
L000287,C00193,4529529,240,10.14,Auto Loan,Closed,2022-03-31,2041-12-16
L000288,C02696,863554,24,7.43,Credit Line,Active,2022-01-13,2024-01-03
L000289,C00909,4273871,24,15.32,Business Loan,Active,2023-07-02,2025-06-21
L000290,C00306,3479784,60,11.8,Personal Loan,Closed,2023-05-21,2028-04-24
L000291,C04080,2798613,120,13.68,Auto Loan,Defaulted,2024-11-26,2034-10-05
L000292,C08348,2089384,12,16.41,Home Loan,Closed,2025-09-04,2026-08-30
L000293,C03632,712617,240,10.36,Personal Loan,Active,2024-09-07,2044-05-25
L000294,C00599,96713,24,15.42,Credit Line,Defaulted,2025-06-02,2027-05-23
L000295,C00267,4826663,36,15.96,Credit Line,Closed,2021-11-14,2024-10-29
L000296,C08587,1593543,240,8.25,Home Loan,Active,2021-05-20,2041-02-04
L000297,C07022,2361784,60,11.0,Education Loan,Active,2024-06-01,2029-05-06
L000298,C00365,4713754,60,9.6,Home Loan,Active,2024-09-02,2029-08-07
L000299,C00469,1470806,180,11.37,Education Loan,Closed,2022-06-16,2037-03-29
L000300,C07336,1340454,84,17.82,Education Loan,Defaulted,2022-07-05,2029-05-29
L000301,C06405,1854129,180,13.2,Personal Loan,Active,2022-06-17,2037-03-30
L000302,C09503,1500382,240,15.5,Education Loan,Closed,2022-03-16,2041-12-01
L000303,C05454,4629316,84,13.88,Home Loan,Active,2021-09-28,2028-08-22
L000304,C07470,3827890,48,15.93,Business Loan,Closed,2023-05-26,2027-05-05
L000305,C05276,1240041,12,9.27,Auto Loan,Closed,2024-01-12,2025-01-06
L000306,C01938,1623532,84,7.23,Home Loan,Active,2021-05-02,2028-03-26
L000307,C08342,4506506,60,11.23,Home Loan,Active,2023-05-11,2028-04-14
L000308,C03559,864629,84,10.2,Business Loan,Closed,2022-06-13,2029-05-07
L000309,C00760,2638169,24,14.82,Home Loan,Closed,2024-04-03,2026-03-24
L000310,C03379,2207174,60,11.14,Education Loan,Closed,2021-05-13,2026-04-17
L000311,C00132,857882,12,14.0,Business Loan,Closed,2024-08-23,2025-08-18
L000312,C04602,2233480,36,15.95,Auto Loan,Closed,2021-07-14,2024-06-28
L000313,C08271,4283590,48,17.48,Education Loan,Closed,2022-01-28,2026-01-07
L000314,C07832,4364290,48,7.5,Home Loan,Closed,2025-03-27,2029-03-06
L000315,C05754,75917,240,14.38,Education Loan,Active,2024-12-13,2044-08-30
L000316,C04973,4740101,24,13.09,Credit Line,Active,2023-03-26,2025-03-15
L000317,C08746,264141,24,17.94,Personal Loan,Active,2025-01-24,2027-01-14
L000318,C01391,4726434,12,10.58,Education Loan,Active,2022-04-11,2023-04-06
L000319,C03840,3122581,48,14.55,Business Loan,Active,2021-05-24,2025-05-03
L000320,C05427,1796679,24,8.07,Personal Loan,Closed,2021-01-06,2022-12-27
L000321,C03920,3785357,84,15.4,Credit Line,Active,2021-05-29,2028-04-22
L000322,C04306,3165837,48,14.76,Education Loan,Active,2024-06-01,2028-05-11
L000323,C08012,4214576,84,10.1,Credit Line,Defaulted,2024-06-09,2031-05-04
L000324,C01387,3722418,180,12.64,Education Loan,Active,2021-03-28,2036-01-09
L000325,C04924,1657517,12,13.28,Education Loan,Closed,2023-05-24,2024-05-18
L000326,C06382,743026,84,15.9,Credit Line,Active,2021-01-02,2027-11-27
L000327,C06244,4859358,180,12.21,Personal Loan,Active,2022-08-20,2037-06-02
L000328,C01980,2233462,24,10.83,Business Loan,Active,2023-03-29,2025-03-18
L000329,C08319,320857,240,14.45,Business Loan,Defaulted,2023-07-11,2043-03-28
L000330,C09589,667030,48,12.25,Education Loan,Active,2024-12-22,2028-12-01
L000331,C00861,2556609,48,17.66,Credit Line,Active,2021-04-12,2025-03-22
L000332,C07041,643523,60,16.59,Credit Line,Active,2023-02-20,2028-01-25
