customer_id,credit_score,debt_to_income_ratio,late_payments,loan_default,risk_category
C00070,669,0.12,0,0,Medium Risk
C00071,754,0.23,1,0,Low Risk
C00072,601,0.7,1,1,Medium Risk
C00073,809,0.15,6,1,Low Risk
C00074,807,0.55,2,0,Low Risk
C00075,735,0.19,4,0,Medium Risk
C00076,775,0.22,2,0,Low Risk
C00077,798,0.15,3,0,Low Risk
C00078,695,0.24,2,0,Medium Risk
C00079,769,0.17,4,0,Low Risk
C00080,586,0.11,1,0,High Risk
C00081,755,0.58,3,0,Low Risk
C00082,725,0.21,2,0,Medium Risk
C00083,850,0.17,1,0,Low Risk
C00084,655,0.26,7,0,Medium Risk
C00085,804,0.55,2,0,Low Risk
C00086,775,0.23,1,0,Low Risk
C00087,680,0.43,1,0,Medium Risk
C00088,526,0.23,1,0,High Risk
C00089,654,0.33,0,1,Medium Risk
C00090,679,0.41,2,0,Medium Risk
C00091,775,0.55,2,0,Low Risk
C00092,715,0.27,4,0,Medium Risk
C00093,693,0.37,4,1,Medium Risk
C00094,764,0.49,2,0,Low Risk
C00095,759,0.27,1,1,Low Risk
C00096,777,0.23,3,0,Low Risk
C00097,613,0.44,1,0,Medium Risk
C00098,777,0.67,3,0,Low Risk
C00099,807,0.65,5,0,Low Risk
C00100,850,0.46,2,0,Low Risk
C00101,734,0.35,1,0,Medium Risk
C00102,788,0.44,5,0,Low Risk
C00103,731,0.58,1,0,Medium Risk
C00104,746,0.16,5,0,Medium Risk
C00105,788,0.57,2,0,Low Risk
C00106,544,0.49,0,0,High Risk
C00107,716,0.26,2,0,Medium Risk
C00108,719,0.63,1,0,Medium Risk
C00109,635,0.15,1,0,Medium Risk
C00110,551,0.65,3,1,High Risk
C00111,648,0.33,4,0,Medium Risk
C00112,718,0.59,2,0,Medium Risk
C00113,670,0.19,2,0,Medium Risk
C00114,715,0.44,0,0,Medium Risk
C00115,606,0.12,0,0,Medium Risk
C00116,703,0.27,1,0,Medium Risk
C00117,720,0.6,0,0,Medium Risk
C00118,576,0.37,2,0,High Risk
C00119,566,0.5,2,0,High Risk
C00120,762,0.58,2,0,Low Risk
C00121,701,0.42,4,0,Medium Risk
C00122,598,0.45,2,0,High Risk
C00123,652,0.56,1,1,Medium Risk
C00124,732,0.17,2,0,Medium Risk
C00125,607,0.14,1,0,Medium Risk
C00126,828,0.47,2,0,Low Risk
C00127,740,0.69,0,0,Medium Risk
C00128,764,0.49,2,0,Low Risk
C00129,705,0.52,3,0,Medium Risk
C00130,744,0.5,1,0,Medium Risk
C00131,850,0.46,2,0,Low Risk
C00132,650,0.22,2,0,Medium Risk
C00133,655,0.6,4,0,Medium Risk
C00134,850,0.45,0,0,Low Risk
C00135,807,0.69,1,0,Low Risk
C00136,674,0.14,4,0,Medium Risk
C00137,619,0.28,3,0,Medium Risk
C00138,652,0.16,2,0,Medium Risk
C00139,850,0.62,2,0,Low Risk
C00140,698,0.59,5,0,Medium Risk
C00141,784,0.56,2,1,Low Risk
C00142,711,0.51,3,0,Medium Risk
C00143,718,0.16,0,0,Medium Risk
C00144,743,0.34,1,0,Medium Risk
C00145,679,0.52,1,0,Medium Risk
C00146,667,0.32,2,0,Medium Risk
C00147,832,0.53,2,0,Low Risk
C00148,670,0.27,2,0,Medium Risk
C00149,737,0.43,1,0,Medium Risk
C00150,786,0.31,1,0,Low Risk
C00151,741,0.65,0,0,Medium Risk
C00152,758,0.37,3,0,Low Risk
C00153,543,0.27,4,0,High Risk
C00154,711,0.13,0,1,Medium Risk
C00155,805,0.19,4,0,Low Risk
C00156,850,0.44,1,0,Low Risk
C00157,795,0.52,1,0,Low Risk
C00158,713,0.67,3,0,Medium Risk
C00159,743,0.46,0,0,Medium Risk
C00160,755,0.51,2,0,Low Risk
C00161,506,0.47,1,1,High Risk
C00162,586,0.64,4,0,High Risk
C00163,702,0.28,1,0,Medium Risk
C00164,683,0.46,2,0,Medium Risk
C00165,656,0.68,1,0,Medium Risk
C00166,724,0.1,3,0,Medium Risk
C00167,735,0.26,1,0,Medium Risk
C00168,551,0.56,3,0,High Risk
C00169,566,0.38,1,0,High Risk
C00170,652,0.2,4,0,Medium Risk
C00171,740,0.44,4,0,Medium Risk
C00172,671,0.41,1,0,Medium Risk
C00173,641,0.37,5,1,Medium Risk
C00174,818,0.31,6,0,Low Risk
C00175,750,0.13,1,0,Low Risk
C00176,674,0.46,1,0,Medium Risk
C00177,850,0.41,3,0,Low Risk
C00178,699,0.45,1,0,Medium Risk
C00179,775,0.1,3,0,Low Risk
C00180,603,0.15,5,0,Medium Risk
C00181,564,0.2,2,1,High Risk
C00182,617,0.37,5,0,Medium Risk
C00183,738,0.58,4,0,Medium Risk
C00184,678,0.25,3,0,Medium Risk
C00185,674,0.59,1,0,Medium Risk
C00186,711,0.24,1,0,Medium Risk
C00187,703,0.55,1,1,Medium Risk
C00188,800,0.62,2,0,Low Risk
C00189,640,0.59,2,0,Medium Risk
C00190,561,0.54,1,0,High Risk
C00191,837,0.12,0,0,Low Risk
C00192,647,0.3,0,1,Medium Risk
C00193,798,0.22,2,0,Low Risk
C00194,726,0.38,2,0,Medium Risk
C00195,822,0.31,1,0,Low Risk
C00196,633,0.47,2,0,Medium Risk
C00197,768,0.44,1,0,Low Risk
C00198,664,0.36,1,0,Medium Risk
C00199,629,0.56,2,0,Medium Risk
C00200,841,0.11,2,0,Low Risk
C00201,622,0.62,2,0,Medium Risk
C00202,618,0.1,3,0,Medium Risk
C00203,589,0.37,0,0,High Risk
C00204,649,0.63,2,0,Medium Risk
C00205,704,0.35,2,0,Medium Risk
C00206,675,0.55,1,0,Medium Risk
C00207,724,0.34,4,0,Medium Risk
C00208,547,0.61,0,1,High Risk
C00209,686,0.7,3,0,Medium Risk
C00210,561,0.64,1,0,High Risk
C00211,650,0.13,1,0,Medium Risk
C00212,668,0.19,1,0,Medium Risk
C00213,687,0.43,3,0,Medium Risk
C00214,722,0.68,4,0,Medium Risk
C00215,576,0.34,1,0,High Risk
C00216,649,0.27,0,0,Medium Risk
C00217,850,0.68,3,0,Low Risk
C00218,682,0.53,1,0,Medium Risk
C00219,672,0.56,0,0,Medium Risk
C00220,516,0.17,3,0,High Risk
C00221,705,0.26,1,0,Medium Risk
C00222,547,0.4,1,0,High Risk
C00223,466,0.54,1,1,High Risk
C00224,729,0.31,4,0,Medium Risk
C00225,729,0.22,1,0,Medium Risk
C00226,544,0.36,2,0,High Risk
C00227,563,0.35,3,0,High Risk
C00228,619,0.62,3,0,Medium Risk
C00229,850,0.66,4,0,Low Risk
C00230,715,0.2,2,0,Medium Risk
C00231,741,0.27,2,0,Medium Risk
C00232,800,0.57,2,0,Low Risk
C00233,827,0.25,1,0,Low Risk
C00234,703,0.26,1,0,Medium Risk
C00235,731,0.51,3,0,Medium Risk
C00236,691,0.41,2,0,Medium Risk
C00237,512,0.52,3,0,High Risk
C00238,716,0.14,1,0,Medium Risk
C00239,640,0.4,1,0,Medium Risk
C00240,426,0.5,6,0,High Risk
C00241,619,0.38,1,0,Medium Risk
C00242,645,0.18,1,0,Medium Risk
C00243,772,0.18,2,0,Low Risk
C00244,675,0.45,2,1,Medium Risk
C00245,622,0.19,2,0,Medium Risk
C00246,570,0.28,2,0,High Risk
C00247,669,0.36,3,0,Medium Risk
C00248,702,0.46,3,0,Medium Risk
C00249,739,0.26,1,0,Medium Risk
C00250,763,0.34,1,0,Low Risk
C00251,561,0.32,1,0,High Risk
C00252,712,0.16,2,0,Medium Risk
C00253,674,0.58,0,1,Medium Risk
C00254,666,0.55,2,0,Medium Risk
C00255,707,0.57,3,0,Medium Risk
C00256,843,0.19,4,1,Low Risk
C00257,663,0.41,4,0,Medium Risk
C00258,699,0.3,3,0,Medium Risk
C00259,599,0.31,2,0,High Risk
C00260,590,0.14,0,0,High Risk
C00261,585,0.67,1,0,High Risk
C00262,546,0.66,3,0,High Risk
C00263,629,0.34,2,0,Medium Risk
C00264,848,0.61,5,0,Low Risk
C00265,617,0.3,1,0,Medium Risk
C00266,659,0.44,4,0,Medium Risk
C00267,562,0.55,6,0,High Risk
C00268,669,0.41,3,0,Medium Risk
C00269,591,0.2,2,0,High Risk
C00270,658,0.33,2,0,Medium Risk
C00271,658,0.56,0,0,Medium Risk
C00272,679,0.57,0,1,Medium Risk
C00273,789,0.3,1,0,Low Risk
C00274,850,0.42,2,0,Low Risk
C00275,849,0.22,2,0,Low Risk
C00276,699,0.25,0,0,Medium Risk
C00277,705,0.19,0,0,Medium Risk
C00278,698,0.36,3,1,Medium Risk
C00279,759,0.53,1,0,Low Risk
C00280,627,0.63,1,1,Medium Risk
C00281,598,0.43,1,0,High Risk
C00282,509,0.49,0,0,High Risk
C00283,770,0.26,4,0,Low Risk
C00284,710,0.22,2,0,Medium Risk
C00285,616,0.34,3,1,Medium Risk
C00286,834,0.44,4,0,Low Risk
C00287,630,0.12,2,0,Medium Risk
C00288,825,0.16,2,0,Low Risk
C00289,611,0.48,4,0,Medium Risk
C00290,706,0.22,3,0,Medium Risk
C00291,729,0.37,2,0,Medium Risk
C00292,642,0.66,1,0,Medium Risk
C00293,573,0.62,3,0,High Risk
C00294,692,0.14,2,0,Medium Risk
C00295,620,0.14,4,0,Medium Risk
C00296,547,0.19,2,0,High Risk
C00297,526,0.17,1,0,High Risk
C00298,706,0.25,1,0,Medium Risk
C00299,482,0.32,1,0,High Risk
C00300,663,0.15,4,0,Medium Risk
C00301,758,0.38,1,0,Low Risk
C00302,553,0.42,2,0,High Risk
C00303,568,0.5,0,0,High Risk
C00304,718,0.34,1,0,Medium Risk
C00305,450,0.28,1,0,High Risk
C00306,683,0.49,3,0,Medium Risk
C00307,645,0.65,3,0,Medium Risk
C00308,819,0.34,3,0,Low Risk
C00309,833,0.28,2,0,Low Risk
C00310,719,0.53,3,0,Medium Risk
C00311,626,0.63,2,0,Medium Risk
C00312,696,0.68,1,0,Medium Risk
C00313,768,0.23,2,0,Low Risk
C00314,752,0.28,3,1,Low Risk
C00315,477,0.64,2,0,High Risk
C00316,557,0.26,1,0,High Risk
C00317,757,0.31,2,0,Low Risk
C00318,574,0.48,2,0,High Risk
C00319,719,0.44,2,0,Medium Risk
C00320,763,0.63,2,0,Low Risk
C00321,743,0.47,2,0,Medium Risk
C00322,732,0.39,0,0,Medium Risk
C00323,645,0.14,3,0,Medium Risk
C00324,565,0.69,3,0,High Risk
C00325,850,0.35,4,0,Low Risk
C00326,514,0.44,4,0,High Risk
C00327,700,0.4,2,0,Medium Risk
C00328,638,0.54,1,0,Medium Risk
C00329,808,0.49,2,0,Low Risk
C00330,692,0.31,2,1,Medium Risk
C00331,610,0.41,1,1,Medium Risk
C00332,647,0.6,1,0,Medium Risk
C00333,769,0.48,1,0,Low Risk
C00334,785,0.67,3,0,Low Risk
C00335,747,0.55,3,0,Medium Risk
C00336,699,0.39,1,0,Medium Risk
C00337,602,0.58,1,0,Medium Risk
C00338,623,0.37,2,0,Medium Risk
C00339,730,0.23,2,0,Medium Risk
C00340,780,0.48,3,0,Low Risk
C00341,555,0.31,0,0,High Risk
C00342,535,0.11,4,0,High Risk
C00343,670,0.23,3,0,Medium Risk
C00344,710,0.2,1,0,Medium Risk
C00345,704,0.58,1,1,Medium Risk
C00346,737,0.54,2,0,Medium Risk
C00347,641,0.47,0,0,Medium Risk
C00348,800,0.66,1,0,Low Risk
C00349,825,0.21,3,0,Low Risk
C00350,737,0.2,5,0,Medium Risk
C00351,643,0.65,3,0,Medium Risk
C00352,438,0.49,2,0,High Risk
C00353,629,0.43,2,0,Medium Risk
C00354,701,0.54,2,0,Medium Risk
C00355,746,0.27,1,0,Medium Risk
C00356,657,0.46,0,1,Medium Risk
C00357,679,0.36,0,0,Medium Risk
C00358,841,0.28,2,0,Low Risk
C00359,590,0.63,2,0,High Risk
C00360,539,0.2,2,0,High Risk
C00361,473,0.11,1,0,High Risk
C00362,775,0.32,3,0,Low Risk
C00363,568,0.22,4,0,High Risk
C00364,657,0.59,2,0,Medium Risk
C00365,762,0.18,3,0,Low Risk
C00366,828,0.66,1,0,Low Risk
C00367,693,0.2,1,0,Medium Risk
C00368,598,0.63,3,0,High Risk
C00369,720,0.2,1,0,Medium Risk
C00370,593,0.13,1,0,High Risk
C00371,682,0.39,2,0,Medium Risk
C00372,563,0.31,1,0,High Risk
C00373,613,0.46,0,0,Medium Risk
C00374,850,0.48,1,0,Low Risk
C00375,786,0.66,5,0,Low Risk
C00376,628,0.67,2,0,Medium Risk
C00377,649,0.4,2,0,Medium Risk
C00378,754,0.23,2,0,Low Risk
C00379,652,0.25,3,0,Medium Risk
C00380,799,0.16,1,0,Low Risk
C00381,548,0.27,1,0,High Risk
C00382,683,0.65,3,0,Medium Risk
C00383,617,0.32,2,0,Medium Risk
C00384,712,0.48,2,0,Medium Risk
C00385,700,0.69,1,0,Medium Risk
C00386,691,0.16,2,0,Medium Risk
C00387,728,0.57,5,0,Medium Risk
C00388,714,0.52,4,0,Medium Risk
C00389,587,0.59,3,1,High Risk
C00390,679,0.18,4,0,Medium Risk
C00391,679,0.4,4,0,Medium Risk
C00392,685,0.48,1,0,Medium Risk
C00393,850,0.56,4,0,Low Risk
C00394,692,0.53,3,0,Medium Risk
C00395,837,0.44,4,0,Low Risk
C00396,514,0.38,4,0,High Risk
C00397,637,0.67,1,1,Medium Risk
C00398,667,0.21,4,0,Medium Risk
C00399,828,0.22,2,0,Low Risk
C00400,492,0.17,1,0,High Risk
C00401,777,0.17,0,0,Low Risk
C00402,738,0.62,1,0,Medium Risk
C00403,738,0.46,3,0,Medium Risk
C00404,671,0.66,4,0,Medium Risk
C00405,703,0.63,1,1,Medium Risk
C00406,685,0.28,2,0,Medium Risk
C00407,628,0.48,2,0,Medium Risk
C00408,770,0.33,2,0,Low Risk
C00409,697,0.63,3,0,Medium Risk
C00410,619,0.54,3,0,Medium Risk
C00411,726,0.17,2,0,Medium Risk
C00412,670,0.25,4,0,Medium Risk
C00413,649,0.49,0,1,Medium Risk
C00414,537,0.25,1,0,High Risk
C00415,642,0.42,4,1,Medium Risk
C00416,638,0.25,2,0,Medium Risk
C00417,717,0.51,1,0,Medium Risk
C00418,655,0.15,0,0,Medium Risk
C00419,850,0.53,0,0,Low Risk
C00420,551,0.3,2,0,High Risk
C00421,577,0.37,1,1,High Risk
C00422,641,0.39,2,0,Medium Risk
C00423,722,0.22,4,0,Medium Risk
C00424,660,0.67,1,0,Medium Risk
C00425,634,0.1,3,0,Medium Risk
C00426,582,0.32,1,0,High Risk
C00427,728,0.18,3,0,Medium Risk
C00428,850,0.32,2,0,Low Risk
C00429,594,0.16,1,0,High Risk
C00430,741,0.33,4,0,Medium Risk
C00431,831,0.22,2,0,Low Risk
C00432,702,0.43,3,0,Medium Risk
C00433,720,0.11,0,0,Medium Risk
C00434,682,0.4,3,0,Medium Risk
C00435,850,0.27,0,0,Low Risk
C00436,761,0.29,1,0,Low Risk
C00437,792,0.31,3,0,Low Risk
C00438,678,0.49,3,0,Medium Risk
C00439,751,0.55,4,0,Low Risk
C00440,683,0.3,3,0,Medium Risk
C00441,759,0.65,1,0,Low Risk
C00442,653,0.55,0,0,Medium Risk
C00443,795,0.34,1,0,Low Risk
C00444,739,0.16,2,0,Medium Risk
C00445,648,0.44,2,1,Medium Risk
C00446,768,0.47,0,0,Low Risk
C00447,661,0.18,2,0,Medium Risk
C00448,578,0.61,6,0,High Risk
C00449,664,0.33,2,0,Medium Risk
C00450,665,0.19,1,0,Medium Risk
C00451,585,0.41,3,0,High Risk
C00452,734,0.35,4,0,Medium Risk
C00453,727,0.49,1,0,Medium Risk
C00454,688,0.2,2,0,Medium Risk
C00455,763,0.11,2,0,Low Risk
C00456,657,0.39,3,0,Medium Risk
C00457,556,0.19,2,0,High Risk
C00458,631,0.19,2,0,Medium Risk
C00459,615,0.51,4,0,Medium Risk
C00460,657,0.26,2,0,Medium Risk
C00461,699,0.6,1,0,Medium Risk
C00462,850,0.41,1,0,Low Risk
C00463,551,0.46,2,0,High Risk
C00464,769,0.29,4,0,Low Risk
C00465,599,0.23,4,0,High Risk
C00466,731,0.2,1,0,Medium Risk
C00467,632,0.52,0,0,Medium Risk
C00468,710,0.51,2,0,Medium Risk
C00469,836,0.4,0,0,Low Risk
C00470,556,0.57,2,1,High Risk
C00471,717,0.58,1,0,Medium Risk
C00472,721,0.37,0,0,Medium Risk
C00473,782,0.49,1,0,Low Risk
C00474,696,0.65,1,0,Medium Risk
C00475,850,0.15,2,0,Low Risk
C00476,796,0.11,2,0,Low Risk
C00477,746,0.38,6,0,Medium Risk
C00478,723,0.3,2,1,Medium Risk
C00479,743,0.15,3,0,Medium Risk
C00480,702,0.19,0,1,Medium Risk
C00481,702,0.25,0,0,Medium Risk
C00482,553,0.16,3,1,High Risk
C00483,742,0.29,4,0,Medium Risk
C00484,741,0.18,3,1,Medium Risk
C00485,721,0.47,3,1,Medium Risk
C00486,724,0.52,3,0,Medium Risk
C00487,758,0.57,0,0,Low Risk
C00488,731,0.62,2,0,Medium Risk
C00489,697,0.1,2,0,Medium Risk
C00490,719,0.21,1,0,Medium Risk
C00491,800,0.59,4,0,Low Risk
C00492,822,0.12,2,0,Low Risk
C00493,601,0.5,1,1,Medium Risk
C00494,654,0.21,1,0,Medium Risk
C00495,775,0.4,2,0,Low Risk
C00496,740,0.68,0,0,Medium Risk
C00497,632,0.49,2,0,Medium Risk
C00498,695,0.32,4,0,Medium Risk
C00499,760,0.51,6,0,Low Risk
C00500,850,0.1,2,0,Low Risk
C00501,850,0.67,5,0,Low Risk
C00502,526,0.31,1,0,High Risk
C00503,766,0.69,3,0,Low Risk
C00504,633,0.51,0,0,Medium Risk
C00505,793,0.27,0,0,Low Risk
C00506,566,0.47,3,0,High Risk
C00507,628,0.33,2,0,Medium Risk
C00508,674,0.49,1,0,Medium Risk
C00509,750,0.57,5,0,Low Risk
C00510,656,0.38,3,1,Medium Risk
C00511,624,0.23,1,0,Medium Risk
C00512,536,0.69,5,0,High Risk
C00513,630,0.35,1,0,Medium Risk
C00514,750,0.21,0,0,Low Risk
C00515,823,0.54,1,0,Low Risk
C00516,596,0.49,3,0,High Risk
C00517,604,0.59,2,0,Medium Risk
C00518,623,0.1,2,0,Medium Risk
C00519,679,0.31,5,0,Medium Risk
C00520,707,0.29,3,0,Medium Risk
C00521,662,0.65,1,0,Medium Risk
C00522,547,0.31,2,0,High Risk
C00523,507,0.42,1,0,High Risk
C00524,645,0.1,0,0,Medium Risk
C00525,737,0.58,2,0,Medium Risk
C00526,690,0.17,2,0,Medium Risk
C00527,841,0.63,1,0,Low Risk
C00528,553,0.54,0,0,High Risk
C00529,699,0.43,1,0,Medium Risk
C00530,815,0.55,2,0,Low Risk
C00531,663,0.58,1,0,Medium Risk
C00532,575,0.55,3,0,High Risk
C00533,446,0.5,1,0,High Risk
C00534,661,0.63,1,0,Medium Risk
C00535,643,0.35,1,0,Medium Risk
C00536,631,0.44,2,0,Medium Risk
C00537,716,0.68,4,1,Medium Risk
C00538,850,0.32,0,1,Low Risk
C00539,566,0.55,0,0,High Risk
C00540,603,0.34,0,0,Medium Risk
C00541,676,0.38,0,0,Medium Risk
C00542,754,0.3,1,0,Low Risk
C00543,655,0.19,2,0,Medium Risk
C00544,742,0.68,2,0,Medium Risk
C00545,560,0.37,1,0,High Risk
C00546,694,0.27,3,1,Medium Risk
C00547,688,0.49,1,1,Medium Risk
C00548,831,0.17,3,0,Low Risk
C00549,792,0.43,1,0,Low Risk
C00550,700,0.44,3,0,Medium Risk
C00551,604,0.22,2,0,Medium Risk
C00552,479,0.68,3,0,High Risk
C00553,610,0.46,1,0,Medium Risk
C00554,850,0.23,1,0,Low Risk
C00555,526,0.6,3,1,High Risk
C00556,607,0.28,1,0,Medium Risk
C00557,701,0.54,2,0,Medium Risk
C00558,803,0.48,4,0,Low Risk
C00559,574,0.2,0,0,High Risk
C00560,731,0.16,1,0,Medium Risk
C00561,619,0.46,3,0,Medium Risk
C00562,580,0.5,1,1,High Risk
C00563,636,0.18,2,0,Medium Risk
C00564,685,0.2,2,0,Medium Risk
C00565,575,0.13,3,0,High Risk
C00566,790,0.18,2,0,Low Risk
C00567,820,0.45,3,0,Low Risk
C00568,626,0.22,1,0,Medium Risk
C00569,760,0.27,1,1,Low Risk
C00570,552,0.43,1,0,High Risk
C00571,673,0.35,3,0,Medium Risk
C00572,765,0.61,2,0,Low Risk
C00573,754,0.44,2,1,Low Risk
C00574,703,0.18,4,0,Medium Risk
C00575,797,0.33,0,0,Low Risk
C00576,623,0.26,2,0,Medium Risk
C00577,697,0.26,1,1,Medium Risk
C00578,694,0.25,2,1,Medium Risk
C00579,727,0.35,2,0,Medium Risk
C00580,744,0.18,0,0,Medium Risk
C00581,573,0.25,2,0,High Risk
C00582,751,0.52,2,0,Low Risk
C00583,581,0.6,1,0,High Risk
C00584,772,0.11,2,0,Low Risk
C00585,847,0.15,3,0,Low Risk
C00586,644,0.61,2,0,Medium Risk
C00587,605,0.23,3,0,Medium Risk
C00588,839,0.29,1,0,Low Risk
C00589,683,0.3,3,0,Medium Risk
C00590,568,0.62,4,0,High Risk
C00591,607,0.2,2,0,Medium Risk
C00592,612,0.59,0,0,Medium Risk
C00593,798,0.38,0,0,Low Risk
C00594,598,0.57,0,0,High Risk
C00595,479,0.51,4,0,High Risk
C00596,685,0.54,1,0,Medium Risk
C00597,716,0.17,7,0,Medium Risk
C00598,741,0.29,1,0,Medium Risk
C00599,445,0.24,0,0,High Risk
C00600,673,0.18,2,0,Medium Risk
C00601,651,0.48,4,0,Medium Risk
C00602,727,0.52,2,0,Medium Risk
C00603,511,0.18,7,0,High Risk
C00604,703,0.56,4,0,Medium Risk
C00605,706,0.27,3,0,Medium Risk
C00606,792,0.33,3,0,Low Risk
C00607,721,0.7,1,0,Medium Risk
C00608,752,0.22,4,0,Low Risk
C00609,578,0.17,2,0,High Risk
C00610,680,0.26,3,0,Medium Risk
C00611,807,0.66,3,0,Low Risk
C00612,645,0.17,0,0,Medium Risk
C00613,759,0.47,2,0,Low Risk
C00614,602,0.58,3,0,Medium Risk
C00615,668,0.65,2,0,Medium Risk
C00616,543,0.39,4,0,High Risk
C00617,681,0.37,4,0,Medium Risk
C00618,613,0.6,0,0,Medium Risk
C00619,792,0.22,1,0,Low Risk
C00620,850,0.38,3,0,Low Risk
C00621,534,0.48,1,0,High Risk
C00622,578,0.52,2,0,High Risk
C00623,772,0.17,3,0,Low Risk
C00624,620,0.62,1,0,Medium Risk
C00625,681,0.59,4,0,Medium Risk
C00626,825,0.29,4,0,Low Risk
C00627,828,0.39,1,1,Low Risk
C00628,572,0.33,2,0,High Risk
C00629,850,0.69,0,0,Low Risk
C00630,749,0.45,2,0,Medium Risk
C00631,780,0.26,1,0,Low Risk
C00632,629,0.55,3,0,Medium Risk
C00633,620,0.59,2,0,Medium Risk
C00634,532,0.54,2,0,High Risk
C00635,577,0.15,3,0,High Risk
C00636,751,0.27,1,0,Low Risk
C00637,731,0.32,2,0,Medium Risk
C00638,760,0.23,1,0,Low Risk
C00639,710,0.39,2,0,Medium Risk
C00640,687,0.29,1,0,Medium Risk
C00641,626,0.12,2,0,Medium Risk
C00642,664,0.49,2,0,Medium Risk
C00643,770,0.36,3,0,Low Risk
C00644,763,0.12,1,0,Low Risk
C00645,712,0.66,1,0,Medium Risk
C00646,605,0.49,1,0,Medium Risk
C00647,646,0.14,2,0,Medium Risk
C00648,568,0.63,1,0,High Risk
C00649,657,0.35,1,0,Medium Risk
C00650,539,0.24,1,0,High Risk
C00651,659,0.13,4,0,Medium Risk
C00652,629,0.55,3,0,Medium Risk
C00653,688,0.68,1,0,Medium Risk
C00654,619,0.21,1,0,Medium Risk
C00655,755,0.35,3,0,Low Risk
C00656,541,0.24,3,0,High Risk
C00657,546,0.44,2,1,High Risk
C00658,665,0.62,3,0,Medium Risk
C00659,713,0.18,0,0,Medium Risk
C00660,652,0.28,3,0,Medium Risk
C00661,660,0.2,3,0,Medium Risk
C00662,698,0.24,5,0,Medium Risk
C00663,734,0.18,2,0,Medium Risk
C00664,651,0.48,0,0,Medium Risk
C00665,707,0.13,2,0,Medium Risk
C00666,778,0.54,2,0,Low Risk
C00667,566,0.19,5,1,High Risk
C00668,803,0.26,6,0,Low Risk
C00669,796,0.31,0,0,Low Risk
C00670,614,0.33,2,0,Medium Risk
C00671,736,0.2,3,0,Medium Risk
C00672,551,0.39,3,0,High Risk
C00673,717,0.64,3,0,Medium Risk
C00674,812,0.38,1,0,Low Risk
C00675,595,0.12,1,0,High Risk
C00676,621,0.32,3,0,Medium Risk
C00677,722,0.34,2,0,Medium Risk
C00678,658,0.27,2,0,Medium Risk
C00679,707,0.28,1,0,Medium Risk
C00680,850,0.22,1,0,Low Risk
C00681,652,0.67,0,0,Medium Risk
C00682,548,0.42,3,0,High Risk
C00683,630,0.42,1,0,Medium Risk
